
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
lch_trace03_33#branch              1.79968e-09
lch_trace03_32#branch              1.79968e-09
lch_trace03_31#branch              1.79968e-09
lch_trace03_30#branch              1.79968e-09
lch_trace03_29#branch              1.79968e-09
lch_trace03_28#branch              1.79968e-09
lch_trace03_27#branch              1.79968e-09
lch_trace03_26#branch              1.79968e-09
lch_trace03_25#branch              1.79968e-09
lch_trace03_24#branch              1.79968e-09
lch_trace03_23#branch              1.79968e-09
lch_trace03_22#branch              1.79968e-09
lch_trace03_21#branch              1.79968e-09
lch_trace03_20#branch              1.79968e-09
lch_trace03_19#branch              1.79968e-09
lch_trace03_18#branch              1.79968e-09
lch_trace03_17#branch              1.79968e-09
lch_trace03_16#branch              1.79968e-09
lch_trace03_15#branch              1.79968e-09
lch_trace03_14#branch              1.79968e-09
lch_trace03_13#branch              1.79968e-09
lch_trace03_12#branch              1.79968e-09
lch_trace03_11#branch              1.79968e-09
lch_trace03_10#branch              1.79968e-09
lch_trace03_9#branch               1.79968e-09
lch_trace03_8#branch               1.79968e-09
lch_trace03_7#branch               1.79968e-09
lch_trace03_6#branch               1.79968e-09
lch_trace03_5#branch               1.79968e-09
lch_trace03_4#branch               1.79968e-09
lch_trace03_3#branch               1.79968e-09
lch_trace03_2#branch               1.79968e-09
lch_trace03_1#branch               1.79968e-09
lch_trace02_80#branch              1.79968e-09
lch_trace02_79#branch              1.79968e-09
lch_trace02_78#branch              1.79968e-09
lch_trace02_77#branch              1.79968e-09
lch_trace02_76#branch              1.79968e-09
lch_trace02_75#branch              1.79968e-09
lch_trace02_74#branch              1.79968e-09
lch_trace02_73#branch              1.79968e-09
lch_trace02_72#branch              1.79968e-09
lch_trace02_71#branch              1.79968e-09
lch_trace02_70#branch              1.79968e-09
lch_trace02_69#branch              1.79968e-09
lch_trace02_68#branch              1.79968e-09
